Handle,Original Image Src,Hosted Image Src,Local Path,Bytes,Status,Fetch Source,Error
a5-notebook-insert,https://joesventure.com/cdn/shop/files/Untitled-56_ee118796-7da6-45a0-86fc-ef8803e55105.png?v=1738705218&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
a5-notebook-insert,https://joesventure.com/cdn/shop/files/Untitled-57_33324ca3-6e09-4a36-bcaf-37bf6f6b1aa8.png?v=1738705218&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
a5-notebook-insert,https://joesventure.com/cdn/shop/files/Untitled-55_f944f535-b3f0-448a-807c-d799940bb7ff.png?v=1738705218&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
a5-notebook-insert,https://joesventure.com/cdn/shop/files/Untitled-59_8e3e7455-cc44-4c4d-8a5d-f4fc05d865d1.png?v=1738705218&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
a5-pen-sleeve,https://joesventure.com/cdn/shop/files/AMR09607.jpg?v=1729521527&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/a5-pen-sleeve-01-a2e93b9082.jpg,backend/public/assets/recovery/joes-venture/images/a5-pen-sleeve-01-a2e93b9082.jpg,89593,downloaded,cached,
a6-notebook-insert,https://joesventure.com/cdn/shop/files/Untitled-59_8e3e7455-cc44-4c4d-8a5d-f4fc05d865d1.png?v=1751453402&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
a6-notebook-insert,https://joesventure.com/cdn/shop/files/Untitled-59_8e3e7455-cc44-4c4d-8a5d-f4fc05d865d1.png?v=1751453402,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
apple-watch-strap,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/JLGLast2.jpg?v=1654638414&width=1024,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
barrel-bag,https://joesventure.com/cdn/shop/files/IMG_7257W.jpg?v=1685815209&width=1024,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
barrel-bag,https://joesventure.com/cdn/shop/files/IMG_7257W.jpg?v=1685815209,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
barrel-bag,https://joesventure.com/cdn/shop/files/IMG_7260W.jpg?v=1685815210,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
black-lamb-aappa-apero,https://joesventure.com/cdn/shop/files/Untitled-213.jpg?v=1720445518&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/black-lamb-aappa-apero-01-295c3c5784.jpg,backend/public/assets/recovery/joes-venture/images/black-lamb-aappa-apero-01-295c3c5784.jpg,136372,downloaded,cached,
black-lamb-leather-coat,https://joesventure.com/cdn/shop/files/Untitled-9copy_d4ebd47f-e591-45fb-8607-634957307223.png?v=1739812360&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/black-lamb-leather-coat-01-0f1e6397b4.png,backend/public/assets/recovery/joes-venture/images/black-lamb-leather-coat-01-0f1e6397b4.png,1762161,downloaded,cached,
black-lamb-nappa-denim-cut,https://joesventure.com/cdn/shop/files/Untitled-2.jpg?v=1720442802&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/black-lamb-nappa-denim-cut-01-0909a049d8.jpg,backend/public/assets/recovery/joes-venture/images/black-lamb-nappa-denim-cut-01-0909a049d8.jpg,133026,downloaded,cached,
black-lamb-nappa-lapel,https://joesventure.com/cdn/shop/files/Untitled-24.jpg?v=1720443316&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/black-lamb-nappa-lapel-01-1e7a14e45a.jpg,backend/public/assets/recovery/joes-venture/images/black-lamb-nappa-lapel-01-1e7a14e45a.jpg,140531,downloaded,cached,
black-lamb-nappa-perfecto,https://joesventure.com/cdn/shop/files/Untitled-219.jpg?v=1720446655&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/black-lamb-nappa-perfecto-01-ba98b63333.jpg,backend/public/assets/recovery/joes-venture/images/black-lamb-nappa-perfecto-01-ba98b63333.jpg,138067,downloaded,cached,
black-leather-perfecto-with-belt,https://joesventure.com/cdn/shop/files/Untitled-6_27922d8b-9463-4fe2-925c-0b36be1a906d.png?v=1739812826&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
black-nubuck-biker-vest,https://joesventure.com/cdn/shop/files/BLACK_BUBUCK_BIKER_VEST.png?v=1738685495&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
black-suede-bustier-top,https://joesventure.com/cdn/shop/files/Untitled-43_39f0b842-d431-469f-91d2-e5c18071a705.png?v=1738684442&width=1920,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
black-vernis-perfecto,https://joesventure.com/cdn/shop/files/Untitled-6.png?v=1732368115&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/black-vernis-perfecto-01-4abb7ff63a.png,backend/public/assets/recovery/joes-venture/images/black-vernis-perfecto-01-4abb7ff63a.png,1454780,downloaded,cached,
brown-cow-nubuck-perfecto,https://joesventure.com/cdn/shop/files/BROWNCOWNUBOCKPERFECTO_1dd21cdc-1318-41da-8cee-8439390c72f8.png?v=1738687578&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/brown-cow-nubuck-perfecto-01-4c897df5f7.png,backend/public/assets/recovery/joes-venture/images/brown-cow-nubuck-perfecto-01-4c897df5f7.png,1512709,downloaded,cached,
brown-suede-equestrian-vest,https://joesventure.com/cdn/shop/files/035_11812964-99b2-42c0-afbd-504fae6b6cfb.jpg?v=1721381781&width=1024,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/brown-suede-equestrian-vest-01-d0fbeb1552.jpg,backend/public/assets/recovery/joes-venture/images/brown-suede-equestrian-vest-01-d0fbeb1552.jpg,147097,downloaded,cached,
brown-suede-tuscany-size-52,https://joesventure.com/cdn/shop/files/013.jpg?v=1720798904&width=1024,,,0,failed,,HTTP Error 404: Not Found | HTTP Error 404: NOT FOUND
buck-brown-lamb-nappa-aviator,https://joesventure.com/cdn/shop/files/Untitled-121.png?v=1738062920&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/buck-brown-lamb-nappa-aviator-01-b28ced8ea6.png,backend/public/assets/recovery/joes-venture/images/buck-brown-lamb-nappa-aviator-01-b28ced8ea6.png,1991035,downloaded,cached,
buck-brown-lamb-nappa-cafe-racer-size-54,https://joesventure.com/cdn/shop/files/019.jpg?v=1720800920&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/buck-brown-lamb-nappa-cafe-racer-size-54-01-dc3c4fe622.jpg,backend/public/assets/recovery/joes-venture/images/buck-brown-lamb-nappa-cafe-racer-size-54-01-dc3c4fe622.jpg,463971,downloaded,cached,
buck-brown-lamb-nappa-pilot-size-48,https://joesventure.com/cdn/shop/files/Untitled-126.png?v=1738065845&width=1920,,,0,failed,,HTTP Error 404: Not Found | <urlopen error [Errno 111] Connection refused>
buck-brown-lamb-nappa-ranger-size-48,https://joesventure.com/cdn/shop/files/026.jpg?v=1720801977&width=1920,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/buck-brown-lamb-nappa-ranger-size-48-01-d25c66dd38.jpg,backend/public/assets/recovery/joes-venture/images/buck-brown-lamb-nappa-ranger-size-48-01-d25c66dd38.jpg,425847,downloaded,cached,
