Handle,Title,Image Src,Image Position,Image Alt Text,Source CSV Row Type
a5-notebook-insert,A5 Notebook Insert,https://joesventure.com/cdn/shop/files/Untitled-56_ee118796-7da6-45a0-86fc-ef8803e55105.png?v=1738705218&width=1920,1,A5 Notebook Insert,product_or_image_row
a5-notebook-insert,,https://joesventure.com/cdn/shop/files/Untitled-57_33324ca3-6e09-4a36-bcaf-37bf6f6b1aa8.png?v=1738705218&width=1920,2,A5 Notebook Insert,image_only_row
a5-notebook-insert,,https://joesventure.com/cdn/shop/files/Untitled-55_f944f535-b3f0-448a-807c-d799940bb7ff.png?v=1738705218&width=1920,3,A5 Notebook Insert,image_only_row
a5-notebook-insert,,https://joesventure.com/cdn/shop/files/Untitled-59_8e3e7455-cc44-4c4d-8a5d-f4fc05d865d1.png?v=1738705218&width=1920,4,A5 Notebook Insert,image_only_row
a5-pen-sleeve,A5 Pen Sleeve,https://joesventure.com/cdn/shop/files/AMR09607.jpg?v=1729521527&width=1920,1,A5 Pen Sleeve,product_or_image_row
a6-notebook-insert,A6 Notebook Insert,https://joesventure.com/cdn/shop/files/Untitled-59_8e3e7455-cc44-4c4d-8a5d-f4fc05d865d1.png?v=1751453402&width=1920,1,A6 Notebook Insert,product_or_image_row
a6-notebook-insert,,https://joesventure.com/cdn/shop/files/Untitled-59_8e3e7455-cc44-4c4d-8a5d-f4fc05d865d1.png?v=1751453402,2,A6 Notebook Insert,image_only_row
apple-watch-strap,Apple Watch Strap,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/JLGLast2.jpg?v=1654638414&width=1024,1,Apple Watch Strap,product_or_image_row
barrel-bag,Barrel Bag,https://joesventure.com/cdn/shop/files/IMG_7257W.jpg?v=1685815209&width=1024,1,Barrel Bag,product_or_image_row
barrel-bag,,https://joesventure.com/cdn/shop/files/IMG_7257W.jpg?v=1685815209,2,Barrel Bag,image_only_row
barrel-bag,,https://joesventure.com/cdn/shop/files/IMG_7260W.jpg?v=1685815210,3,Barrel Bag,image_only_row
black-lamb-aappa-apero,Black Lamb Nappa Apéro Size 42,https://joesventure.com/cdn/shop/files/Untitled-213.jpg?v=1720445518&width=1024,1,Black Lamb Nappa Apéro Size 42,product_or_image_row
black-lamb-leather-coat,Black Lamb Leather Coat,https://joesventure.com/cdn/shop/files/Untitled-9copy_d4ebd47f-e591-45fb-8607-634957307223.png?v=1739812360&width=1920,1,Black Lamb Leather Coat,product_or_image_row
black-lamb-nappa-denim-cut,Black Lamb Nappa Denim Cut Size 54,https://joesventure.com/cdn/shop/files/Untitled-2.jpg?v=1720442802&width=1024,1,Black Lamb Nappa Denim Cut Size 54,product_or_image_row
black-lamb-nappa-lapel,Black Lamb Nappa Lapel Size 46,https://joesventure.com/cdn/shop/files/Untitled-24.jpg?v=1720443316&width=1024,1,Black Lamb Nappa Lapel Size 46,product_or_image_row
black-lamb-nappa-perfecto,Black Lamb Nappa Perfecto Size 40,https://joesventure.com/cdn/shop/files/Untitled-219.jpg?v=1720446655&width=1024,1,Black Lamb Nappa Perfecto Size 40,product_or_image_row
black-leather-perfecto-with-belt,Black Varnish Leather Perfecto With Belt,https://joesventure.com/cdn/shop/files/Untitled-6_27922d8b-9463-4fe2-925c-0b36be1a906d.png?v=1739812826&width=1920,1,Black Varnish Leather Perfecto With Belt,product_or_image_row
black-nubuck-biker-vest,Black Nubuck Biker Vest,https://joesventure.com/cdn/shop/files/BLACK_BUBUCK_BIKER_VEST.png?v=1738685495&width=1920,1,Black Nubuck Biker Vest,product_or_image_row
black-suede-bustier-top,Black Suede Bustier Top,https://joesventure.com/cdn/shop/files/Untitled-43_39f0b842-d431-469f-91d2-e5c18071a705.png?v=1738684442&width=1920,1,Black Suede Bustier Top,product_or_image_row
black-vernis-perfecto,Black Vernis Cow Skin Perfecto Size 42,https://joesventure.com/cdn/shop/files/Untitled-6.png?v=1732368115&width=1920,1,Black Vernis Cow Skin Perfecto Size 42,product_or_image_row
brown-cow-nubuck-perfecto,Brown Cow Nubuck Perfecto,https://joesventure.com/cdn/shop/files/BROWNCOWNUBOCKPERFECTO_1dd21cdc-1318-41da-8cee-8439390c72f8.png?v=1738687578&width=1920,1,Brown Cow Nubuck Perfecto,product_or_image_row
brown-suede-equestrian-vest,Brown Suede Equestrian vest,https://joesventure.com/cdn/shop/files/035_11812964-99b2-42c0-afbd-504fae6b6cfb.jpg?v=1721381781&width=1024,1,Brown Suede Equestrian vest,product_or_image_row
brown-suede-tuscany-size-52,Brown Suede Tuscany Size 52,https://joesventure.com/cdn/shop/files/013.jpg?v=1720798904&width=1024,1,Brown Suede Tuscany Size 52,product_or_image_row
buck-brown-lamb-nappa-aviator,Buck Brown Lamb Nappa Aviator Size 50,https://joesventure.com/cdn/shop/files/Untitled-121.png?v=1738062920&width=1920,1,Buck Brown Lamb Nappa Aviator Size 50,product_or_image_row
buck-brown-lamb-nappa-cafe-racer-size-54,Buck Brown Lamb Nappa Cafe Racer Size 54,https://joesventure.com/cdn/shop/files/019.jpg?v=1720800920&width=1920,1,Buck Brown Lamb Nappa Cafe Racer Size 54,product_or_image_row
buck-brown-lamb-nappa-pilot-size-48,Buck Brown Lamb Nappa Pilot Size 48,https://joesventure.com/cdn/shop/files/Untitled-126.png?v=1738065845&width=1920,1,Buck Brown Lamb Nappa Pilot Size 48,product_or_image_row
buck-brown-lamb-nappa-ranger-size-48,Buck Brown Lamb Nappa Ranger Size 48,https://joesventure.com/cdn/shop/files/026.jpg?v=1720801977&width=1920,1,Buck Brown Lamb Nappa Ranger Size 48,product_or_image_row
buck-brown-pull-up-buttoned-perfecto-size-52,Buck Brown Pull up Buttoned Perfecto Size 52,https://joesventure.com/cdn/shop/files/024.jpg?v=1720801547&width=1024,1,Buck Brown Pull up Buttoned Perfecto Size 52,product_or_image_row
buck-brown-waxed-baby-buffalo-vegtan-perfecto-size-56,Buck Brown Waxed Baby Buffalo VegTan Perfecto Size 56,https://joesventure.com/cdn/shop/files/032.jpg?v=1720803104&width=1920,1,Buck Brown Waxed Baby Buffalo VegTan Perfecto Size 56,product_or_image_row
buffed-varnish-cow-suit-jacket,Buffed Varnish Cow Suit Jacket,https://joesventure.com/cdn/shop/files/BUFFEDVARNISHCOWSUIYJACKET_0ae5bd73-34f3-450a-b677-50805c967de3.png?v=1738679310&width=1920,1,Buffed Varnish Cow Suit Jacket,product_or_image_row
bundle-a,Gift Bundle A,https://joesventure.com/cdn/shop/files/SNY07742.jpg?v=1714414175&width=1024,1,Gift Bundle A,product_or_image_row
bundle-b,Gift Bundle B,https://joesventure.com/cdn/shop/files/SNY07740.jpg?v=1714414607&width=1024,1,Gift Bundle B,product_or_image_row
bundle-c,Gift Bundle C,https://joesventure.com/cdn/shop/files/SNY07738.jpg?v=1714415266&width=1024,1,Gift Bundle C,product_or_image_row
burgundy-lamb-nappa-denim-cut-size-56,Burgundy Lamb Nappa Denim Cut Size 56,https://joesventure.com/cdn/shop/files/0_6f5c3061-a209-4a61-9a7d-7cb953ebd21c.jpg?v=1720789436&width=1024,1,Burgundy Lamb Nappa Denim Cut Size 56,product_or_image_row
burgundy-lamb-nappa-perfecto-size-46,Burgundy Lamb Nappa Perfecto Size 46,https://joesventure.com/cdn/shop/files/05.jpg?v=1720790003&width=1920,1,Burgundy Lamb Nappa Perfecto Size 46,product_or_image_row
burgundy-lamb-nappa-pilot-size-46,Burgundy Lamb Nappa Pilot Size 46,https://joesventure.com/cdn/shop/files/08.jpg?v=1720790754&width=1024,1,Burgundy Lamb Nappa Pilot Size 46,product_or_image_row
burgundy-nappa-aviator,Burgundy Nappa Aviator,https://joesventure.com/cdn/shop/files/BurgundyNapaAviator_c8d37a04-dee4-4606-828e-4ba60b180e02.png?v=1738675108&width=1920,1,Burgundy Nappa Aviator,product_or_image_row
burgundy-nappa-cafe-racer,Burgundy Nappa Café Racer,https://joesventure.com/cdn/shop/files/BURGUNDYNAPPACAFERACER_e63e1b86-a543-4125-9915-c7f076e8ee6b.png?v=1738687894&width=1920,1,Burgundy Nappa Café Racer,product_or_image_row
burgundy-nappa-cafe-racer,,https://joesventure.com/cdn/shop/files/BURGUNDYNAPPACAFERACER_e63e1b86-a543-4125-9915-c7f076e8ee6b.png?v=1738687894,2,Burgundy Nappa Café Racer,image_only_row
burgundy-nappa-suit-like-jacket,Burgundy Nappa Suit Like Jacket,https://joesventure.com/cdn/shop/files/BURGUNDYNAPPASUITLIKEJACKET_fd51b7b6-42fb-4ba9-9185-e5de2c9cdcfc.png?v=1738687224&width=1920,1,Burgundy Nappa Suit Like Jacket,product_or_image_row
burnt-brown-waxed-baby-buffalo-aviator,Burnt Brown Waxed Baby Buffalo Aviator Size 56,https://joesventure.com/cdn/shop/files/Untitled-210.jpg?v=1720444913&width=1024,1,Burnt Brown Waxed Baby Buffalo Aviator Size 56,product_or_image_row
business-essentials-bundle,Business Essentials Bundle,https://joesventure.com/cdn/shop/files/BusinessBundle.png?v=1734627045&width=1920,1,Business Essentials Bundle,product_or_image_row
business-essentials-bundle,,https://joesventure.com/cdn/shop/files/BusinessBundle2.png?v=1734627045&width=1920,2,Business Essentials Bundle,image_only_row
business-essentials-bundle,,https://joesventure.com/cdn/shop/files/BusinessBundle3.png?v=1734627045&width=1920,3,Business Essentials Bundle,image_only_row
business-essentials-bundle,,https://joesventure.com/cdn/shop/files/BusinessBundle.png?v=1734627045,4,Business Essentials Bundle,image_only_row
business-essentials-bundle,,https://joesventure.com/cdn/shop/files/BusinessBundle2.png?v=1734627045,5,Business Essentials Bundle,image_only_row
business-essentials-bundle,,https://joesventure.com/cdn/shop/files/BusinessBundle3.png?v=1734627045,6,Business Essentials Bundle,image_only_row
canvas-pencil-case,Canvas Pencil case,https://joesventure.com/cdn/shop/files/SNY09108.jpg?v=1716723075&width=1024,1,Canvas Pencil case,product_or_image_row
canvas-pencil-case,,https://joesventure.com/cdn/shop/files/SNY09100.jpg?v=1716723090,2,Canvas Pencil case,image_only_row
canvas-pencil-case,,https://joesventure.com/cdn/shop/files/SNY09108.jpg?v=1716723075,3,Canvas Pencil case,image_only_row
clipper-fold-wallet,The JLG Clipper Fold Wallet,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/JLGBatch_B_12.jpg?v=1653832431&width=1024,1,The JLG Clipper Fold Wallet,product_or_image_row
clutch,CÁNE No.4 - La Nuit,https://joesventure.com/cdn/shop/files/CANE_1_LAID_DOWN.png?v=1750341181&width=1920,1,CÁNE No.4 - La Nuit,product_or_image_row
cow-nubuck-buttoned-jacket,Cow Nubuck Buttoned Jacket Size 52,https://joesventure.com/cdn/shop/files/CowNubockButtonedJacket.png?v=1738854645&width=1920,1,Cow Nubuck Buttoned Jacket Size 52,product_or_image_row
cow-suede-ranger-jacket,Cow Suede Ranger jacket,https://cdn.shopify.com/s/files/1/0622/5890/5258/products/IMG_4737-2.jpg?v=1666186023&width=1024,1,Cow Suede Ranger jacket,product_or_image_row
cracked-cow-classic-202,Cracked Cow Classic 202,https://joesventure.com/cdn/shop/files/CRACKEDCOWCLASSIC202_15e919ec-2152-46b5-88bf-ebbc15f774b1.png?v=1738687402&width=1920,1,Cracked Cow Classic 202,product_or_image_row
cropped-bustier-34-b,Cropped Bustier 34-B,https://joesventure.com/cdn/shop/files/CROPPEDBUSTIER34-B_d3594897-bd8f-4203-bdb5-4d346d3564c8.png?v=1738680990&width=1920,1,Cropped Bustier 34-B,product_or_image_row
cropped-bustier-sans-bretelle,Cropped Bustier Sans Bretelle,https://joesventure.com/cdn/shop/files/CROPPEDBUSTIERSANSBRETELLE_68f9679b-5a1c-4cfd-a54f-53326613a3a7.png?v=1738684276&width=1920,1,Cropped Bustier Sans Bretelle,product_or_image_row
cropped-cafe-racer-oil-tanned-baby-buffalo,Cropped Cafe Racer Oil-Tanned Baby Buffalo,https://joesventure.com/cdn/shop/files/CroppedCAFERACEROILTANNEDBABYBUFFALO_a0d72179-fa03-465f-9c93-d0aaa9040513.png?v=1738678687&width=1920,1,Cropped Cafe Racer Oil-Tanned Baby Buffalo,product_or_image_row
dark-blue-denim-cut-vest,Dark Blue Denim-Cut Vest,https://joesventure.com/cdn/shop/files/DARKVLUEDENIMCUTVESTVINTAGEBUTTONS_55d57da2-e589-4472-9e1d-595902f5445b.png?v=1738681309&width=1920,1,Dark Blue Denim-Cut Vest,product_or_image_row
dark-blue-suede-denim-cut,Dark Blue Suede Denim-Cut,https://joesventure.com/cdn/shop/files/DARKBLUESUEIDEDENIMCUTJACKET_5b4ba31c-94e1-4126-ac8b-73f883f7b86c.png?v=1738679608&width=1920,1,Dark Blue Suede Denim-Cut,product_or_image_row
diwan-coaster,Mug coaster,https://joesventure.com/cdn/shop/files/Untitled-91_70c4d8bd-2429-4e3b-b40b-27b0d8e897d0.png?v=1738708188&width=1920,1,Mug coaster,product_or_image_row
eclipse-pebbled-boot-cleaner,Eclipse Pebbled Leather Boot Cleaner,https://joesventure.com/cdn/shop/files/Untitled-89copy.png?v=1738713740&width=1920,1,Eclipse Pebbled Leather Boot Cleaner,product_or_image_row
eclipse-pebbled-boot-cleaner,,https://joesventure.com/cdn/shop/files/Untitled-89copy.png?v=1738713740,2,Eclipse Pebbled Leather Boot Cleaner,image_only_row
eclipse-pebbled-business-duffle-carryon,Eclipse Pebbled Leather Business Duffle Carry-On,https://joesventure.com/cdn/shop/files/Untitled-153.png?v=1738713947&width=1920,1,Eclipse Pebbled Leather Business Duffle Carry-On,product_or_image_row
eclipse-pebbled-business-duffle-carryon,,https://joesventure.com/cdn/shop/files/Untitled-153.png?v=1738713947,2,Eclipse Pebbled Leather Business Duffle Carry-On,image_only_row
eclipse-pebbled-college-backpack,Eclipse Pebbled College Backpack,https://joesventure.com/cdn/shop/files/Untitled-142copy.png?v=1738714593&width=1920,1,Eclipse Pebbled College Backpack,product_or_image_row
