Collection Handle,Collection Title,Product Handle,Product Title,Archived URL,Timestamp
accessories,Accessories,tobacco-pouch,Tobacco Pouch,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,apple-watch-strap,Apple Watch Strap,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,hook-keychain,Hook Keychain,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,the-jlg-brass-leather-belt,The JLG  Brass Leather Belt,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,passport-cover,Passport Cover,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,the-a5-analog,The A5 Analog,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,macbook-sleeve,Macbook Sleeve,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,the-jlg-a6-analog,The JLG A6 Analog,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,JLGBatch_B_72.jpg,,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,JLGLast2.jpg,,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,JLGLast30.jpg,,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,JLGBatch_B_88.jpg,,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,JLGLast14.jpg,,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,JLGLast22.jpg,,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,JLGBatch_B_93.jpg,,https://joesventure.com/collections/accessories,20230322194712
accessories,Accessories,JLGLast12copyxx.jpg,,https://joesventure.com/collections/accessories,20230322194712
all,ALL,tobacco-pouch,Tobacco Pouch,https://joesventure.com/collections/all,20230322200539
all,ALL,the-vancouver-messenger-bag,The Vancouver Messenger Bag,https://joesventure.com/collections/all,20230322200539
all,ALL,joe-s-leather-balm™,JOE’S LEATHER BALM™,https://joesventure.com/collections/all,20230322200539
all,ALL,the-paros-convertible,The Paros convertible,https://joesventure.com/collections/all,20230322200539
all,ALL,jlg-giza-tote-bag,The Giza Tote Bag,https://joesventure.com/collections/all,20230322200539
all,ALL,the-jlg-bifold-wallet,The JLG Bifold Wallet,https://joesventure.com/collections/all,20230322200539
all,ALL,the-explorer-bag,The Explorer Bag,https://joesventure.com/collections/all,20230322200539
all,ALL,pyrenees-backpack,"Pyrenees Backpack 16""",https://joesventure.com/collections/all,20230322200539
all,ALL,leather-horse-hair-brush,LEATHER HORSE HAIR BRUSH,https://joesventure.com/collections/all,20230322200539
all,ALL,the-jlg-v2-wallet,The JLG V2 Wallet,https://joesventure.com/collections/all,20230322200539
all,ALL,the-jlg-cardholder,The JLG Cardholder,https://joesventure.com/collections/all,20230322200539
all,ALL,the-jlg-brass-leather-belt,The JLG  Brass Leather Belt,https://joesventure.com/collections/all,20230322200539
all,ALL,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_B_72.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_C_32.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBrush_Wax1.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_C_18_a74c7a62-1f5f-4928-8bbc-d798f3dd4349.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_C_42.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLG17.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_C_27.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_C_36.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBrush_Wax2.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_B_22.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_B_26.jpg,,https://joesventure.com/collections/all,20230322200539
all,ALL,JLGBatch_B_88.jpg,,https://joesventure.com/collections/all,20230322200539
all-bundles,All Bundles,bundle-c,Gift Bundle C,https://joesventure.com/collections/all-bundles,20250321095314
all-bundles,All Bundles,traveler-essentials-bundle,Traveler Essentials Bundle,https://joesventure.com/collections/all-bundles,20250321095314
all-bundles,All Bundles,business-essentials-bundle,Business Essentials Bundle,https://joesventure.com/collections/all-bundles,20250321095314
bags,Bags,the-vancouver-messenger-bag,The Vancouver Messenger Bag,https://joesventure.com/collections/bags,20230322183645
bags,Bags,the-paros-convertible,The Paros convertible,https://joesventure.com/collections/bags,20230322183645
bags,Bags,jlg-giza-tote-bag,The Giza Tote Bag,https://joesventure.com/collections/bags,20230322183645
bags,Bags,the-explorer-bag,The Explorer Bag,https://joesventure.com/collections/bags,20230322183645
bags,Bags,pyrenees-backpack,"Pyrenees Backpack 16""",https://joesventure.com/collections/bags,20230322183645
bags,Bags,the-himalaya-duffle-bag,The Himalaya Duffle Bag,https://joesventure.com/collections/bags,20230322183645
bags,Bags,the-jlg-city-bag,City Bag,https://joesventure.com/collections/bags,20230322183645
bags,Bags,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/bags,20230322183645
bags,Bags,JLGBatch_C_32.jpg,,https://joesventure.com/collections/bags,20230322183645
bags,Bags,JLGBatch_C_18_a74c7a62-1f5f-4928-8bbc-d798f3dd4349.jpg,,https://joesventure.com/collections/bags,20230322183645
bags,Bags,JLGBatch_C_42.jpg,,https://joesventure.com/collections/bags,20230322183645
bags,Bags,JLGBatch_C_27.jpg,,https://joesventure.com/collections/bags,20230322183645
bags,Bags,JLGBatch_C_36.jpg,,https://joesventure.com/collections/bags,20230322183645
bags,Bags,JLG_Batch_C_50.jpg,,https://joesventure.com/collections/bags,20230322183645
bags,Bags,JLGBatch_C_94.jpg,,https://joesventure.com/collections/bags,20230322183645
best-sellers,BEST SELLERS,tobacco-pouch,Tobacco Pouch,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,pyrenees-backpack,"Pyrenees Backpack 16""",https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,the-fanny-pack,The Fanny Pack,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,the-a5-analog,The A5 Analog,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,the-paros-convertible,The Paros convertible,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,laptop-bag,Laptop Bag,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,pebbled-mssenger-bag,Pebbled Messenger Bag,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,nomad-tote-bag,Nomad Pebbled Leather Tote Bag with Shoulder Strap,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,messenger-bag,Waxed canvas Messenger bag,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,JLGBatch_B_72.jpg,,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,JLGBatch_C_36.jpg,,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,JLGLast22.jpg,,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,JLGBatch_C_18_a74c7a62-1f5f-4928-8bbc-d798f3dd4349.jpg,,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,JLGBatch_C_37.jpg,,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,JLGLast21.jpg,,https://joesventure.com/collections/best-sellers,20240619004239
best-sellers,BEST SELLERS,JLGBatch_C_19.jpg,,https://joesventure.com/collections/best-sellers,20240619004239
brushes,Care,joe-s-leather-balm™,JOE’S LEATHER BALM™,https://joesventure.com/collections/brushes,20230531012104
brushes,Care,leather-horse-hair-brush,LEATHER HORSE HAIR BRUSH,https://joesventure.com/collections/brushes,20230531012104
brushes,Care,lamb-nappa-woman-perfecto,Lamb Nappa Woman Perfecto,https://joesventure.com/collections/brushes,20230531012104
brushes,Care,JLGBrush_Wax1.jpg,,https://joesventure.com/collections/brushes,20230531012104
